route_location_id,route_id,beginning_milepoint,ending_milepoint,location_id,facility_type,program,num_aadt,num_caadt,num_single_unit_caadt,num_combined_unit_caadt,street_name,from_description,to_description,num_lanes,nfc_name,posted_speed,ObjectId,Shape__Length
4705731-82-5965-0.7137669-1.3703501,4705731,0.7137669,1.37035,82-5965,2 - Two-Way Roadway,Non-Trunkline,5622,158,113,45,John R St,Brady St,Canfield St,2,Minor arterial,25,915,1432.31067860188
1591810-82-6147-2.4812539-5.4560078,1591810,2.481254,5.456008,82-6147,1 - One-Way Roadway,Non-Trunkline,3069,88,58,30,Southfield Service Drive,N M 39,8 Mile Rd,2,Major collector,30,916,6501.15930965943
4705734-82-7631-0-0.3677508,4705734,0,0.3677508,82-7631,4 - Ramp,Ramp,5414,,,,I 375/Madison Ramp,S I 375,Bridge 11801,2,Interstate,40,917,802.136963893788
1591901-82-0894-0.1657648-0.3321224,1591901,0.1657648,0.3321224,82-0894,4 - Ramp,Ramp,9574,,,,M 39/I 96 Ramp,Bridge 11554,M 39/E I 96 RAMP & S M 39/E I 96 RAMP,1,Interstate,40,918,362.335025189409
1591901-82-0901-0.3990465-0.6579354,1591901,0.3990465,0.6579354,82-0901,4 - Ramp,Ramp,10856,,,,M 39/I 96 Ramp,Bridge 11554,M 39/E I 96 RAMP & S M 39/E I 96 RAMP,2,Interstate,40,919,563.387616438804
4705736-82-1469-0-0.1355769,4705736,0,0.1355769,82-1469,1 - One-Way Roadway,Non-Trunkline,561,18,11,7,Randolph St,Gratiot Ave,Madison St,1,Major collector,25,920,295.516777316571
1591901-82-0905-0.3321224-0.3990465,1591901,0.3321224,0.3990465,82-0905,4 - Ramp,Ramp,18463,,,,M 39/I 96 Ramp,Bridge 11554,M 39/E I 96 RAMP & S M 39/E I 96 RAMP,1,Interstate,40,921,145.623692834665
4705737-82-6131-0-0.2429528,4705737,0,0.2429528,82-6131,2 - Two-Way Roadway,Non-Trunkline,8303,241,158,83,Broadway St,Witherell St,Gratiot Ave,2,Major collector,25,922,528.742921452535
4705738-82-2500-0-0.1620727,4705738,0,0.1620727,82-2500,1 - One-Way Roadway,Non-Trunkline,592,18,11,7,Clinton St,Brush St,S I 375 Service Drive,1,Major collector,25,923,352.71340825271
1591901-82-2110-0-0.1657648,1591901,0,0.1657648,82-2110,4 - Ramp,Ramp,18973,,,,M 39/I 96 Ramp,Bridge 11554,M 39/E I 96 RAMP & S M 39/E I 96 RAMP,2,Interstate,40,924,362.003566485808
1591902-82-0825-0.3375424-0.5746903,1591902,0.3375424,0.5746903,82-0825,4 - Ramp,Ramp,34737,,,,M 39/I 96 Ramp,Bridge 11540,N M 39/W I 96 RAMP & M 39/W I 96 RAMP,2,Interstate,40,925,516.092749050816
1591902-82-0899-0.2326412-0.3375424,1591902,0.2326412,0.3375424,82-0899,4 - Ramp,Ramp,15687,,,,M 39/I 96 Ramp,Bridge 11540,N M 39/W I 96 RAMP & M 39/W I 96 RAMP,1,Interstate,40,926,228.63560557912
